season,team_id,franchise_id,historical_team_name,city,nickname,active
2004,NO,SAINTS,New Orleans Saints,New Orleans,Saints,TRUE
2004,NYG,GIANTS,New York Giants,New York,Giants,TRUE
2004,NYJ,JETS,New York Jets,New York,Jets,TRUE
2004,PHI,EAGLES,Philadelphia Eagles,Philadelphia,Eagles,TRUE
2004,PIT,STEELERS,Pittsburgh Steelers,Pittsburgh,Steelers,TRUE
2004,SEA,SEAHAWKS,Seattle Seahawks,Seattle,Seahawks,TRUE
2004,SF,49ERS,San Francisco 49ers,San Francisco,49ers,TRUE
2004,TB,BUCCANEERS,Tampa Bay Buccaneers,Tampa Bay,Buccaneers,TRUE
2004,TEN,TITANS,Tennessee Titans,Tennessee,Titans,TRUE
2004,WAS,WASHINGTON,Washington Redskins,Washington,Redskins,TRUE
2005,ARI,CARDINALS,Arizona Cardinals,Arizona,Cardinals,TRUE
2005,ATL,FALCONS,Atlanta Falcons,Atlanta,Falcons,TRUE
2005,BAL,RAVENS,Baltimore Ravens,Baltimore,Ravens,TRUE
2005,BUF,BILLS,Buffalo Bills,Buffalo,Bills,TRUE
2005,CAR,PANTHERS,Carolina Panthers,Carolina,Panthers,TRUE
2005,CHI,BEARS,Chicago Bears,Chicago,Bears,TRUE
2005,CIN,BENGALS,Cincinnati Bengals,Cincinnati,Bengals,TRUE
2005,CLE,BROWNS,Cleveland Browns,Cleveland,Browns,TRUE
2005,DAL,COWBOYS,Dallas Cowboys,Dallas,Cowboys,TRUE
2005,DEN,BRONCOS,Denver Broncos,Denver,Broncos,TRUE
2005,DET,LIONS,Detroit Lions,Detroit,Lions,TRUE
2005,GB,PACKERS,Green Bay Packers,Green Bay,Packers,TRUE
2005,HOU,TEXANS,Houston Texans,Houston,Texans,TRUE
2005,IND,COLTS,Indianapolis Colts,Indianapolis,Colts,TRUE
2005,JAX,JAGUARS,Jacksonville Jaguars,Jacksonville,Jaguars,TRUE
2005,KC,CHIEFS,Kansas City Chiefs,Kansas City,Chiefs,TRUE
2005,LA,RAMS,St. Louis Rams,St. Louis,Rams,TRUE
2005,LAC,CHARGERS,San Diego Chargers,San Diego,Chargers,TRUE
2005,LV,RAIDERS,Oakland Raiders,Oakland,Raiders,TRUE
2005,MIA,DOLPHINS,Miami Dolphins,Miami,Dolphins,TRUE
2005,MIN,VIKINGS,Minnesota Vikings,Minnesota,Vikings,TRUE
2005,NE,PATRIOTS,New England Patriots,New England,Patriots,TRUE
2005,NO,SAINTS,New Orleans Saints,New Orleans,Saints,TRUE
2005,NYG,GIANTS,New York Giants,New York,Giants,TRUE
2005,NYJ,JETS,New York Jets,New York,Jets,TRUE
2005,PHI,EAGLES,Philadelphia Eagles,Philadelphia,Eagles,TRUE
2005,PIT,STEELERS,Pittsburgh Steelers,Pittsburgh,Steelers,TRUE
2005,SEA,SEAHAWKS,Seattle Seahawks,Seattle,Seahawks,TRUE
2005,SF,49ERS,San Francisco 49ers,San Francisco,49ers,TRUE
2005,TB,BUCCANEERS,Tampa Bay Buccaneers,Tampa Bay,Buccaneers,TRUE
2005,TEN,TITANS,Tennessee Titans,Tennessee,Titans,TRUE
2005,WAS,WASHINGTON,Washington Redskins,Washington,Redskins,TRUE
2006,ARI,CARDINALS,Arizona Cardinals,Arizona,Cardinals,TRUE
2006,ATL,FALCONS,Atlanta Falcons,Atlanta,Falcons,TRUE
2006,BAL,RAVENS,Baltimore Ravens,Baltimore,Ravens,TRUE
2006,BUF,BILLS,Buffalo Bills,Buffalo,Bills,TRUE
2006,CAR,PANTHERS,Carolina Panthers,Carolina,Panthers,TRUE
2006,CHI,BEARS,Chicago Bears,Chicago,Bears,TRUE
2006,CIN,BENGALS,Cincinnati Bengals,Cincinnati,Bengals,TRUE
2006,CLE,BROWNS,Cleveland Browns,Cleveland,Browns,TRUE
2006,DAL,COWBOYS,Dallas Cowboys,Dallas,Cowboys,TRUE
2006,DEN,BRONCOS,Denver Broncos,Denver,Broncos,TRUE
2006,DET,LIONS,Detroit Lions,Detroit,Lions,TRUE
2006,GB,PACKERS,Green Bay Packers,Green Bay,Packers,TRUE
2006,HOU,TEXANS,Houston Texans,Houston,Texans,TRUE
2006,IND,COLTS,Indianapolis Colts,Indianapolis,Colts,TRUE
2006,JAX,JAGUARS,Jacksonville Jaguars,Jacksonville,Jaguars,TRUE
2006,KC,CHIEFS,Kansas City Chiefs,Kansas City,Chiefs,TRUE
2006,LA,RAMS,St. Louis Rams,St. Louis,Rams,TRUE
2006,LAC,CHARGERS,San Diego Chargers,San Diego,Chargers,TRUE
2006,LV,RAIDERS,Oakland Raiders,Oakland,Raiders,TRUE
2006,MIA,DOLPHINS,Miami Dolphins,Miami,Dolphins,TRUE
2006,MIN,VIKINGS,Minnesota Vikings,Minnesota,Vikings,TRUE
2006,NE,PATRIOTS,New England Patriots,New England,Patriots,TRUE
2006,NO,SAINTS,New Orleans Saints,New Orleans,Saints,TRUE
2006,NYG,GIANTS,New York Giants,New York,Giants,TRUE
2006,NYJ,JETS,New York Jets,New York,Jets,TRUE
